Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,256,128,28579.38,211.45,211.45,211.45,433.08,591.11
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,128,512,128,57153.5,422.6,422.6,422.6,865.81,591.35
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,1,128,116.88,7.57,7.71,7.64,7.86,127.23
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,4,128,451.74,9.9,10.44,10.17,11.03,362.65
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,16,128,1791.15,19.19,21.37,20.28,23.74,673.97
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,24,128,2684.09,25.39,28.66,27.02,32.21,745.11
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,28,128,3130.56,28.49,32.3,30.39,36.45,768.18
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,32,128,3577.03,31.58,35.95,33.76,40.68,786.63
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,48,128,5362.91,43.98,50.52,47.24,57.62,833.04
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,56,128,6255.85,50.17,57.8,53.98,66.09,847.33
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,60,128,6702.32,53.27,61.45,57.35,70.33,853.12
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,64,128,7148.79,56.37,65.09,60.72,74.57,858.25
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,96,128,10720.56,81.15,94.24,87.68,108.45,885.2
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,112,128,12506.44,93.55,108.81,101.16,125.39,893.21
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,128,128,14292.32,105.94,123.38,114.64,142.33,899.32
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,256,128,28579.38,211.45,246.34,228.86,284.23,900.68
Llama2-7B,IntelGaudi2C,1,1,BF16,2048,512,512,128,57153.5,422.6,492.37,457.42,568.15,901.17
,,,,,,,,,,,,,,
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,1,128,3.62,3.45,3.45,3.45,3.45,289.86
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,4,128,13.89,3.59,3.59,3.59,3.67,1089.92
Llama2-7B,IntelGaudi2C,1,1,FP8,128,128,16,128,47.66,4.14,4.14,4.14,4.48,3571.43
