Model,Device,PP,TP,DType,Input,Output,BS,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,112,128,73461.34,109.9,109.9,109.9,682.96,163.99
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,128,128,83950.33,118.52,118.52,118.52,773.45,165.49
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,256,128,167862.26,233.94,233.94,233.94,1543.54,165.85
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,128,512,128,335686.1,465.66,465.66,465.66,3084.57,165.99
,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,1,128,693.97,50.15,50.24,50.19,51.45,19.44
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,4,128,2660.66,51.76,52.13,51.95,57.04,70.13
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,16,128,10527.4,58.22,59.71,58.96,79.41,201.49
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,24,128,15771.9,62.53,64.76,63.64,94.32,254.45
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,28,128,18394.14,64.68,67.28,65.98,101.78,275.1
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,32,128,21016.39,66.84,69.81,68.32,109.23,292.96
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,48,128,31505.38,75.45,79.91,77.67,139.06,345.17
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,56,128,36749.88,79.76,84.95,82.35,153.97,363.71
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,60,128,39372.12,81.91,87.48,84.69,161.42,371.7
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,64,128,41994.37,84.06,90.0,87.03,168.88,378.97
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,96,128,62972.35,101.29,110.2,105.74,228.52,420.09
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,112,128,73461.34,109.9,120.3,115.09,258.35,433.52
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,128,128,83950.33,118.52,130.4,124.45,288.17,444.18
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,256,128,167862.26,233.94,257.71,245.8,573.18,446.63
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2048,512,512,128,335686.1,465.66,513.18,489.37,1144.05,447.53
,,,,,,,,,,,,,,
