Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Llama2-13B,IntelGaudi2B,1,1,BF16,4,2048,512,gate(w3),2048,2048,1080.0,0.42,432.0,2565.94,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,qkvo_proj,2048,2048,3200.0,1.45,432.0,2214.05,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,q@k_T,2048,2048,320.0,2.81,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,softmax,2048,2048,6.25,5.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,score@v,2048,2048,320.0,2.81,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,up(w1),2048,2048,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,down(w2),2048,2048,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,8,2048,512,gate(w3),2048,2048,2160.0,0.71,432.0,3042.42,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,qkvo_proj,2048,2048,6400.0,2.7,432.0,2374.49,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,q@k_T,2048,2048,640.0,5.62,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,softmax,2048,2048,12.5,10.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,score@v,2048,2048,640.0,5.62,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,up(w1),2048,2048,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,down(w2),2048,2048,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,16,2048,512,gate(w3),2048,2048,4320.0,1.29,432.0,3353.81,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,qkvo_proj,2048,2048,12800.0,5.2,432.0,2463.76,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,q@k_T,2048,2048,1280.0,11.25,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,softmax,2048,2048,25.0,20.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,score@v,2048,2048,1280.0,11.25,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,up(w1),2048,2048,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,down(w2),2048,2048,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,32,2048,512,gate(w3),2048,2048,8640.0,2.44,432.0,3534.7,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,qkvo_proj,2048,2048,25600.0,10.2,432.0,2510.96,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,q@k_T,2048,2048,2560.0,22.5,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,softmax,2048,2048,50.0,40.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,score@v,2048,2048,2560.0,22.5,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,up(w1),2048,2048,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,down(w2),2048,2048,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,64,2048,512,gate(w3),2048,2048,17280.0,4.76,432.0,3632.67,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,qkvo_proj,2048,2048,51200.0,20.2,432.0,2535.24,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,q@k_T,2048,2048,5120.0,45.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,softmax,2048,2048,100.0,80.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,score@v,2048,2048,5120.0,45.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,up(w1),2048,2048,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,down(w2),2048,2048,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,128,2048,512,gate(w3),2048,2048,34560.0,9.38,432.0,3683.71,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,qkvo_proj,2048,2048,102400.0,40.2,432.0,2547.56,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,q@k_T,2048,2048,10240.0,90.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,softmax,2048,2048,200.0,160.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,score@v,2048,2048,10240.0,90.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,up(w1),2048,2048,69120.0,18.63,432.0,3709.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,down(w2),2048,2048,69120.0,18.63,432.0,3709.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,256,2048,512,gate(w3),2048,2048,69120.0,18.63,432.0,3709.78,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,qkvo_proj,2048,2048,204800.0,80.2,432.0,2553.77,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,q@k_T,2048,2048,20480.0,180.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,softmax,2048,2048,400.0,320.0,3.08,1.25,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,score@v,2048,2048,20480.0,180.0,432.0,113.78,memory
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,up(w1),2048,2048,138240.0,37.13,432.0,3722.95,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,down(w2),2048,2048,138240.0,37.13,432.0,3722.95,compute
Llama2-13B,IntelGaudi2B,1,1,BF16,512,2048,512,gate(w3),2048,2048,138240.0,37.13,432.0,3722.95,compute
,,,,,,,,,,,,,,,
