Model,Device,PP,TP,DType,BS,Input,Output,Operation,SeqLenQ,SeqLenKV,NumOps(G),Memory(GB),TopsRF(TFlops),AI,Bound
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,score@v,128,128,64.0,1.12,280.8,56.89,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,up(w1),128,128,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,down(w2),128,128,7168.0,2.36,280.8,3038.09,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,512,128,512,gate(w3),128,128,7168.0,2.36,280.8,3038.09,compute
,,,,,,,,,,,,,,,
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,qkvo_proj,512,512,64.0,0.16,280.8,409.6,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,q@k_T,512,512,2.0,0.02,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,softmax,512,512,0.04,0.03,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,score@v,512,512,2.0,0.02,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,up(w1),512,512,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,down(w2),512,512,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,1,512,128,gate(w3),512,512,56.0,0.13,280.8,441.11,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,qkvo_proj,512,512,128.0,0.19,280.8,682.67,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,q@k_T,512,512,4.0,0.04,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,softmax,512,512,0.08,0.06,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,score@v,512,512,4.0,0.04,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,up(w1),512,512,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,down(w2),512,512,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,2,512,128,gate(w3),512,512,112.0,0.14,280.8,774.92,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,qkvo_proj,512,512,256.0,0.25,280.8,1024.0,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,q@k_T,512,512,8.0,0.08,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,softmax,512,512,0.16,0.12,1.88,1.25,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,score@v,512,512,8.0,0.08,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,up(w1),512,512,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,down(w2),512,512,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,4,512,128,gate(w3),512,512,224.0,0.18,280.8,1246.61,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,qkvo_proj,512,512,512.0,0.38,280.8,1365.33,compute
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,q@k_T,512,512,16.0,0.16,280.8,97.52,memory
Mixtral-8x7B,IntelGaudi2C,1,1,BF16,8,512,128,softmax,512,512,0.31,0.25,1.88,1.25,memory
